@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
206,2780,7.930206,29.5,3.417727,2,2,1,0.8944,0.512566,0.308142,0.179823,7,3,0,3,0,1,2,69.5,24.5,0,24.5,0,2,22.5,23,4,0,4,0,2,2,46.5,20.5,0,20.5,0,0,20.5,0.428571,0,0.5,0,0.5,0.666667,0.352518,0,0.441441,0,0.266667,0.523256,1,6,1,2,3,14,55.5,5,7.5,43,true,0.167619,0.041143,0.986486,0.250806,-1.257898,0.065143,0.215238,0.198286,6.238095,0.546364,1.711107,0.065143,0,0,0,0,1,0,4
276,3341,8.114025,40,3.713572,2,2,1,0.914839,0.554621,0.278069,0.167724,15,9,0,9,1,6,2,59,32,0,32,1,26.5,4.5,5,5,0,5,1,2,2,54,27,0,27,0,24.5,2.5,0.6,0,0.6,1,0.545455,0.666667,0.542373,0,0.542373,1,0.519608,0.642857,0,15,1,11,3,0,59,1,51,7,true,0.154286,0.034429,1.023529,0.239623,-1.160311,0.051818,0.207857,0.188,5.925926,0.534767,1.737053,0.051818,0,0,0,0,0,0,0
287,3643.5,8.2007,0,0,2,2,1,0.92,0.534968,0.285935,0.179484,14,6,0,6,2,4,0,99,36,0,36,6,30,0,19,2,0,2,0,2,0,80,34,0,34,6,28,0,0.428571,0,0.461538,0.5,0.5,0,0.363636,0,0.371134,0.5,0.422535,0,1,13,4,8,1,2,97,12,71,14,false,0.158763,0.036564,1.032258,0.250588,-1.112007,0.049565,0.213746,0.194639,6.25,0.549164,1.648299,0.049565,0,0,0,0,0,1,5
329,4147.5,8.330261,43.5,3.795489,2,2,1,0.928649,0.536477,0.285909,0.177955,8,3,0,3,1,1,1,55.5,20,0,20,16,2,2,18.5,0,0,0,0,0,0,37,20,0,20,16,2,2,0.375,0,0.428571,0.5,0.333333,0.5,0.36036,0,0.434783,0.5,0.181818,0.666667,1,7,2,3,2,9.5,46,32,11,3,true,0.162763,0.034955,1.019048,0.249223,-1.056721,0.043019,0.216817,0.20012,6.322581,0.543109,1.670955,0.043019,0,0,0,0,0,1,5
367,4472.5,8.405703,0,0,2,2,1,0.93561,0.543627,0.281451,0.175233,7,2,0,2,1,0,1,99,13.5,0,13.5,12,0,1.5,70,0,0,0,0,0,0,29,13.5,0,13.5,12,0,1.5,0.285714,0,0.333333,0.333333,0,0.5,0.136364,0,0.139896,0.324324,0,0.027273,1,6,3,1,2,2.5,96.5,37,4.5,55,true,0.156873,0.031375,1.026549,0.248113,-1.08411,0.04,0.213477,0.198491,6.205883,0.535294,1.664973,0.04,0,0,0,0,1,0,4
374,4589.5,8.431526,49,3.912023,2,2,1,0.93561,0.537475,0.29202,0.170808,4,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,43,7,3,3,1,false,0.159259,0.030794,0.966667,0.242396,-1.12912,0.038644,0.214815,0.200106,6.382353,0.538381,1.691268,0.038644,0,1,0,0,0,0,1
389,4990.5,8.515291,29,3.401197,2,2,1,0.938605,0.529735,0.297928,0.172627,6,1,0,1,1,0,0,70,4,0,4,4,0,0,16.5,0,0,0,0,0,0,53.5,4,0,4,4,0,0,0.166667,0,0.2,0.333333,0,0,0.057143,0,0.153846,0.296296,0,0,1,5,3,1,1,44,26,13.5,11,1.5,false,0.163359,0.032163,0.953125,0.244396,-1.129539,0.036774,0.221883,0.207735,6.542857,0.542786,1.661162,0.036774,0,0,0,0,0,1,5
391,5043.5,8.525856,77,4.356709,2,2,1,0.938605,0.52208,0.304113,0.17409,8,2,0,2,2,0,0,22,3.5,0,3.5,3.5,0,0,3.5,0,0,0,0,0,0,18.5,3.5,0,3.5,3.5,0,0,0.25,0,0.285714,0.4,0,0,0.159091,0,0.291667,0.35,0,0,1,7,5,1,1,10,12,10,1,1,false,0.167595,0.032,0.932331,0.244492,-1.135689,0.035625,0.223291,0.209215,6.742857,0.550611,1.662229,0.035625,0,0,1,0,0,0,2
402,5358,8.586346,58.5,4.085976,2,2,1,0.94,0.515545,0.312818,0.171909,7,2,0,2,0,1,1,40.5,4,0,4,0,2,2,31,2,0,2,0,2,0,9.5,2,0,2,0,0,2,0.285714,0,0.333333,0,0.5,0.333333,0.098765,0,0.275862,0,0.5,0.235294,1,6,1,2,3,26,14.5,2,4,8.5,false,0.170443,0.031133,0.894366,0.24158,-1.179859,0.03403,0.224631,0.210936,7.057143,0.558392,1.675354,0.03403,0,0,0,0.75,0.25,0,3
429,5795,8.664751,8.5,2.251292,2,2,1,0.941333,0.521207,0.309569,0.169483,7,2,0,2,0,1,1,90.5,17,0,17,0,15,2,22,0,0,0,0,0,0,68.5,17,0,17,0,15,2,0.285714,0,0.333333,0,0.333333,0.5,0.187845,0,0.311927,0,0.32967,0.666667,1,6,1,3,2,36,54.5,6,45.5,3,true,0.166744,0.029192,0.885135,0.237549,-1.184442,0.032571,0.219861,0.207021,7.166667,0.55426,1.725338,0.032571,0,0,0,0,1,0,4
