@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,river,232,false,0,2884.5,79,2,2,1,0.898462,0.763636,5,2,0.4,2.014903,0.325,false,0.157627,0.040847,0.987013,0.243284,-1.243068,0.063333,0.204237,0.189153,6.523809,0.532489,1.704363,0.063333,1,bet
0,0,2,flop,242,false,0,2936.5,94,2,2,1,0.902222,0.774545,1,0,0,0,0,false,0.155285,0.039187,0.974684,0.238989,-1.241281,0.06,0.204065,0.185528,6.363636,0.527347,1.714421,0.06,1,bet
0,0,2,flop,276,false,0,3223,99,2,2,1,0.905714,0.793333,0,0,0,0,0,false,0.154286,0.034429,0.917647,0.217476,-1.256749,0.051818,0.207857,0.188,6.416667,0.53037,1.843121,0.051818,1,bet
0,0,2,turn,276,false,0,3225,98,2,2,1,0.908966,0.786667,1,1,1,0.693147,1,true,0.154286,0.034429,0.929412,0.22,-1.252457,0.051818,0.207857,0.188,6.16,0.528413,1.839023,0.051818,1,bet
0,0,2,river,276,false,0,3327,47,2,2,1,0.912,0.783333,12,7,0.583333,3.349904,0.528846,true,0.154286,0.034429,1,0.23481,-1.174504,0.051818,0.207857,0.188,6.115385,0.535018,1.751924,0.051818,1,bet
0,0,2,flop,280,false,0,3362,93,2,2,1,0.914839,0.809231,1,0,0,0,0,false,0.155634,0.033944,1,0.236646,-1.167983,0.050667,0.211972,0.192394,6,0.53617,1.740339,0.050667,1,bet
0,0,2,turn,287,false,0,3473.5,85,2,2,1,0.9175,0.803077,5,2,0.4,1.94591,0.428571,true,0.158763,0.036564,1.010989,0.243114,-1.153811,0.049565,0.213746,0.194639,6.071429,0.541497,1.713007,0.049565,1,bet
0,0,2,flop,294,false,0,3660,99,2,2,1,0.92,0.822857,0,0,0,0,0,false,0.158389,0.035705,1.021277,0.246243,-1.112539,0.048511,0.215436,0.196779,6.321429,0.550331,1.647881,0.048511,1,bet
0,0,2,flop,296,false,0,3774.5,95,2,2,1,0.922353,0.834667,1,0,0,0,0,false,0.160667,0.035467,1.010309,0.247727,-1.110539,0.0475,0.217333,0.1988,6.241379,0.552597,1.65132,0.0475,1,bet
0,0,2,turn,312,false,0,3912.5,99,2,2,1,0.924571,0.817143,0,0,0,0,0,false,0.158861,0.033671,1,0.243052,-1.10015,0.0456,0.222152,0.204557,6.448276,0.550625,1.701477,0.0456,1,bet
0,0,2,turn,324,false,0,4026.5,99,2,2,1,0.926667,0.829333,0,0,0,0,0,false,0.162195,0.035488,1,0.243915,-1.085109,0.043846,0.217073,0.200122,6.586207,0.544411,1.710579,0.043846,1,bet
0,0,2,flop,334,false,0,4155.5,99,2,2,1,0.928649,0.845,0,0,0,0,0,false,0.163314,0.034438,1.009434,0.247301,-1.057207,0.042222,0.213609,0.19716,6.322581,0.539942,1.670955,0.042222,1,bet
0,0,2,flop,338,false,0,4172,94.5,2,2,1,0.930526,0.854118,1,0,0,0,0,false,0.164327,0.034035,1,0.247328,-1.059261,0.041455,0.214035,0.197778,6.354839,0.536599,1.673287,0.041455,1,bet
0,0,2,turn,338,false,0,4178,91.5,2,2,1,0.932308,0.84,4,2,0.5,1.098612,0.266667,true,0.164327,0.034035,1.018519,0.251139,-1.054665,0.041455,0.214035,0.197778,6.1875,0.53639,1.668302,0.041455,1,bet
0,0,2,turn,340,false,0,4215.5,99,2,2,1,0.934,0.849412,0,0,0,0,0,false,0.166279,0.033837,1.027273,0.254863,-1.046816,0.040714,0.215698,0.199535,6.121212,0.540113,1.657329,0.040714,1,bet
0,0,2,flop,378,false,0,4600,97,2,2,1,0.93561,0.862222,1,0,0,0,0,false,0.160209,0.030471,0.95082,0.240732,-1.131233,0.038,0.215183,0.200628,6.411765,0.536788,1.69222,0.038,1,bet
0,0,2,flop,382,false,0,4628.5,88.5,2,2,1,0.937143,0.869474,1,0,0,0,0,false,0.16114,0.030155,0.943548,0.240816,-1.137866,0.037377,0.215544,0.20114,6.441176,0.533846,1.697203,0.037377,1,bet
0,0,2,turn,402,false,0,5333,71,2,2,1,0.938605,0.857778,2,0,0,0,0,false,0.170443,0.031133,0.892857,0.239413,-1.182987,0.03403,0.224631,0.210936,6.971428,0.555238,1.680697,0.03403,1,bet
0,0,2,flop,424,false,0,5498.5,95.5,2,2,1,0.94,0.876,1,0,0,0,0,false,0.166355,0.029533,0.875862,0.234274,-1.182948,0.033043,0.220093,0.207103,7.171429,0.550917,1.714402,0.033043,1,bet
0,0,2,turn,466,false,0,5998.5,95.5,2,2,1,0.941333,0.865263,1,0,0,0,0,false,0.164255,0.026894,0.864516,0.228148,-1.187501,0.0304,0.219574,0.207745,7.18421,0.553165,1.729387,0.0304,1,bet
0,0,2,river,466,false,0,6015.5,87,2,2,1,0.942609,0.8,3,1,0.333333,1.098612,0.166667,false,0.164255,0.026894,0.865385,0.229151,-1.187464,0.0304,0.219574,0.207745,7.210526,0.554105,1.727671,0.0304,1,bet
0,0,2,flop,474,false,0,6039.5,99,2,2,1,0.94383,0.881905,0,0,0,0,0,false,0.16569,0.026444,0.855346,0.228051,-1.185222,0.03,0.217992,0.20636,7.263158,0.551351,1.725427,0.03,1,bet
0,0,2,flop,502,false,0,6154.5,99,2,2,1,0.945,0.887273,0,0,0,0,0,false,0.160474,0.02498,0.850932,0.220244,-1.183791,0.029231,0.221739,0.210751,7.5,0.55171,1.741168,0.029231,1,bet
0,0,2,flop,506,false,0,6297.5,99,2,2,1,0.946122,0.892174,0,0,0,0,0,false,0.163137,0.024784,0.871951,0.226758,-1.154525,0.0285,0.221961,0.211059,7.3,0.553543,1.702849,0.0285,1,bet
0,0,2,turn,530,false,0,6377,99,2,2,1,0.9472,0.872,0,0,0,0,0,false,0.163296,0.02367,0.852071,0.220896,-1.161752,0.027143,0.219476,0.209064,7.475,0.548952,1.708954,0.027143,1,bet
0,0,2,flop,560,false,0,6529,96,2,2,1,0.948235,0.896667,2,1,0.5,0.693147,0.333333,false,0.163475,0.02773,0.861272,0.220064,-1.152781,0.025909,0.21844,0.206809,7.512195,0.541348,1.72797,0.025909,1,bet
0,0,2,flop,562,false,0,6544.5,99,2,2,1,0.949231,0.9008,0,0,0,0,0,false,0.164664,0.027633,0.862069,0.220253,-1.151166,0.025618,0.219435,0.207845,7.560976,0.543013,1.72832,0.025618,1,bet
0,0,2,flop,582,false,0,6919.5,93.5,2,2,1,0.950189,0.904615,1,0,0,0,0,false,0.169283,0.026689,0.818182,0.216109,-1.216534,0.024255,0.220478,0.209283,7.926829,0.547387,1.759618,0.024255,1,bet
0,0,2,flop,588,false,0,7069.5,95.5,2,2,1,0.951111,0.908148,1,0,0,0,0,false,0.170946,0.028108,0.84127,0.221856,-1.179132,0.024,0.221622,0.210541,7.522727,0.546416,1.721128,0.024,1,bet
0,0,2,river,588,false,0,7084.5,88,2,2,1,0.952,0.814286,4,1,0.25,0.693147,0.090909,false,0.170946,0.028108,0.837696,0.222355,-1.180897,0.024,0.221622,0.210541,7.568182,0.547959,1.721409,0.024,1,bet
0,0,2,turn,592,false,0,7165,70.5,2,2,1,0.952857,0.878095,2,0,0,0,0,false,0.171476,0.027919,0.825641,0.221534,-1.19459,0.02375,0.22349,0.212483,7.659091,0.550084,1.728768,0.02375,1,bet
0,0,2,flop,602,false,0,7244.5,99,2,2,1,0.953684,0.911429,0,0,0,0,0,false,0.173597,0.027459,0.806931,0.219942,-1.198363,0.02303,0.221452,0.210627,7.840909,0.552397,1.730229,0.02303,1,bet
0,0,2,turn,616,false,0,7614.5,74,2,2,1,0.954483,0.883636,6,2,0.333333,1.504077,0.14,false,0.172903,0.026839,0.799043,0.22,-1.231326,0.022574,0.219677,0.209097,8.068182,0.554267,1.767053,0.022574,1,bet
0,0,2,river,616,false,0,7658.5,52,2,2,1,0.955254,0.826667,10,4,0.4,2.564949,0.255319,false,0.172903,0.026839,0.804762,0.221879,-1.223627,0.022574,0.219677,0.209097,8.113636,0.555698,1.756839,0.022574,1,bet
