@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,17,1,608.5,93,1.098612,0.004906,1.098612,2,2,1,0.424,0.332571,0.246857,0.374118,0.185882,0.44,false,2,0,0,0,0,0,false,0.390476,0.078095,1.3125,0.275676,-0.757686,0.175385,0.533333,0.36381,3.6,0.72,0.966685,0.175385,0,0,1,raise
0,0,1,flop,17,3,621.5,87,1.386294,0.006395,2.302585,2,2,1,0.412222,0.323333,0.267778,0.353333,0.175556,0.471111,true,4,1,1,0.25,1.386294,0.1875,true,0.390476,0.078095,1.375,0.294737,-0.7404,0.175385,0.533333,0.36381,3.7,0.727778,0.950482,0.175385,0,1,0,call
0,0,1,turn,17,1,644,83,2.917771,0.027925,2.917771,2,2,1,0.401081,0.341622,0.260541,0.353333,0.413333,0.233333,false,5,1,0,0.2,1.386294,0.086957,false,0.390476,0.078095,1.294118,0.287179,-0.760705,0.175385,0.533333,0.36381,3.8,0.735135,1.02534,0.175385,0,1,0,call
0,0,1,river,17,1,670,64.5,2.014903,0.01107,2.014903,2,2,1,0.390526,0.358947,0.253684,0.448,0.48,0.072,false,6,1,0,0.166667,1.386294,0.071429,false,0.390476,0.078095,1.222222,0.28,-0.849599,0.175385,0.533333,0.36381,3.9,0.742105,1.054161,0.175385,0,1,0,call
0,0,1,flop,19,1,721,81.5,1.609438,0.006887,1.609438,2,2,1,0.386341,0.381463,0.235122,0.334737,0.218947,0.446316,false,2,0,0,0,0,0,false,0.4,0.071304,1.1,0.260465,-0.958402,0.162857,0.530435,0.375652,4.1,0.755,1.13053,0.162857,0,1,0,call
0,0,1,turn,19,1,729,76.5,1.098612,0.004098,1.098612,2,2,1,0.377143,0.39619,0.229524,0.302857,0.497143,0.2,false,3,0,0,0,0,0,false,0.4,0.071304,1.047619,0.254545,-0.978811,0.162857,0.530435,0.375652,4.2,0.760976,1.140947,0.162857,0,0,1,raise
0,0,1,turn,19,3,741,70.5,1.098612,0.004032,2.197225,2,2,1,0.368372,0.386977,0.247442,0.265,0.435,0.3,true,5,1,1,0.2,1.386294,0.095238,true,0.4,0.071304,1.095238,0.271111,-0.959111,0.162857,0.530435,0.375652,4.3,0.766667,1.119338,0.162857,0,0,1,raise
0,0,1,turn,19,5,754,64.5,1.386294,0.005277,2.772589,2,2,1,0.36,0.378182,0.264545,0.235556,0.386667,0.377778,true,7,2,2,0.285714,1.94591,0.155844,true,0.4,0.071304,1.142857,0.286957,-0.940244,0.162857,0.530435,0.375652,4.4,0.772093,1.101991,0.162857,0,0,1,raise
0,0,1,turn,19,7,774.5,56.5,2.140066,0.010856,3.349904,2,2,1,0.352,0.369778,0.280889,0.212,0.348,0.44,true,9,3,3,0.333333,2.397895,0.196078,true,0.4,0.071304,1.190476,0.302128,-0.916291,0.162857,0.530435,0.375652,4.5,0.777273,1.090449,0.162857,0,0,1,raise
0,0,1,turn,19,9,810,39.5,2.302585,0.012195,3.850147,2,2,1,0.344348,0.361739,0.296522,0.192727,0.316364,0.490909,true,11,4,4,0.363636,2.970414,0.266187,true,0.4,0.071304,1.238095,0.316667,-0.869472,0.162857,0.530435,0.375652,4.6,0.782222,1.043042,0.162857,0,0,1,raise
0,0,1,river,19,1,859.5,19.5,2.970414,0.022184,2.970414,2,2,1,0.337021,0.354043,0.311489,0.373333,0.566667,0.06,false,13,5,0,0.384615,3.38439,0.287879,true,0.4,0.071304,1.285714,0.330612,-0.820487,0.162857,0.530435,0.375652,4.272727,0.770213,1.016846,0.162857,0,1,0,call
0,0,1,flop,21,1,904.5,93,2.302585,0.010935,2.302585,2,2,1,0.3368,0.3728,0.2928,0.318,0.258,0.424,false,2,0,0,0,0,0,false,0.408,0.0656,1.173913,0.311538,-0.908856,0.152,0.528,0.3856,4.454545,0.779592,1.059446,0.152,0,0,1,raise
0,0,1,turn,21,1,1007.5,73,4.29046,0.067561,4.29046,2,2,1,0.330196,0.36549,0.306667,0.176667,0.29,0.533333,false,4,1,0,0.25,2.397895,0.10101,true,0.408,0.0656,1.217391,0.324528,-0.862392,0.152,0.528,0.3856,4.166667,0.768627,1.169547,0.152,0,1,0,call
0,0,1,flop,22,1,1089.5,98,1.609438,0.004568,1.609438,2,2,1,0.311852,0.400741,0.28963,0.302857,0.245714,0.451429,false,2,0,0,0,0,0,false,0.430769,0.063077,1.076923,0.307143,-1.076831,0.1425,0.546154,0.409231,4.333333,0.777359,1.183615,0.1425,1,0,0,fold
0,0,1,flop,31,1,1130.5,98,2.197225,0.007898,2.197225,2,2,1,0.394286,0.359365,0.248254,0.334545,0.234545,0.430909,false,2,0,0,0,0,0,false,0.348571,0.046857,1.037037,0.264615,-1.079418,0.134118,0.52,0.418286,4.75,0.783051,1.223996,0.134118,1,0,0,fold
0,0,1,flop,33,1,1147,93.5,0.693147,0.001741,0.693147,2,2,1,0.406667,0.358182,0.23697,0.363478,0.224348,0.412174,false,2,0,0,0,0,0,false,0.356757,0.044324,1,0.252941,-1.09353,0.126667,0.518919,0.422703,4.916667,0.790164,1.236642,0.126667,0,1,0,call
0,0,1,turn,33,1,1156,91.5,1.94591,0.006019,1.94591,2,2,1,0.400597,0.367761,0.233433,0.163077,0.344615,0.492308,false,3,0,0,0,0,0,false,0.356757,0.044324,0.965517,0.249275,-1.098612,0.126667,0.518919,0.422703,5,0.793548,1.251696,0.126667,0,1,0,call
0,0,1,river,33,1,1165,84.5,0.693147,0.001714,0.693147,2,2,1,0.394706,0.377059,0.23,0.32,0.628571,0.051429,false,4,0,0,0,0,0,false,0.356757,0.044324,0.933333,0.245714,-1.116201,0.126667,0.518919,0.422703,5.083333,0.796825,1.255956,0.126667,0,0,1,raise
0,0,1,river,33,3,1173.5,80.5,0.916291,0.002126,1.871802,2,2,1,0.388986,0.371594,0.241159,0.28,0.55,0.17,true,6,1,1,0.166667,1.098612,0.095238,true,0.356757,0.044324,0.966667,0.256338,-1.106075,0.126667,0.518919,0.422703,5.166667,0.8,1.246441,0.126667,0,1,0,call
0,0,1,flop,39,1,1226,88,1.94591,0.005677,1.94591,2,2,1,0.397867,0.381867,0.221867,0.348333,0.256667,0.395,false,2,0,0,0,0,0,false,0.353488,0.03814,0.909091,0.246154,-1.13272,0.114,0.493023,0.410233,5.416667,0.785507,1.295627,0.114,0,1,0,call
0,0,1,turn,39,1,1236.5,81,1.252763,0.002823,1.252763,2,2,1,0.392632,0.39,0.218947,0.151429,0.391429,0.457143,false,3,0,0,0,0,0,false,0.353488,0.03814,0.882353,0.243038,-1.149348,0.114,0.493023,0.410233,5.5,0.788571,1.302595,0.114,0,0,1,raise
0,0,1,turn,39,3,1251,74,1.386294,0.003187,2.397895,2,2,1,0.387532,0.384935,0.229091,0.141333,0.365333,0.493333,true,5,1,1,0.2,1.504077,0.12069,true,0.353488,0.03814,0.911765,0.2525,-1.13187,0.114,0.493023,0.410233,5.583333,0.791549,1.285274,0.114,0,0,1,raise
0,0,1,river,39,1,1265,66,0.693147,0.001579,0.693147,2,2,1,0.382564,0.38,0.238974,0.248889,0.6,0.151111,false,7,2,0,0.285714,2.140066,0.214286,true,0.353488,0.03814,0.941176,0.261728,-1.112599,0.114,0.493023,0.410233,5.230769,0.783562,1.261131,0.114,0,0,1,raise
0,0,1,flop,40,1,1276.5,99,1.252763,0.002734,1.252763,2,2,1,0.373,0.383,0.2455,0.3344,0.2864,0.3792,false,1,0,0,0,0,0,false,0.368182,0.037273,0.942857,0.26747,-1.104383,0.108571,0.481818,0.400909,4.928571,0.776,1.254225,0.108571,1,0,0,fold
0,0,1,flop,42,2,1304,92,2.014903,0.005719,2.140066,2,2,1,0.379048,0.388571,0.23381,0.36,0.275385,0.364615,true,3,1,1,0.333333,0.693147,0.068966,true,0.373913,0.035652,0.918919,0.263636,-1.112311,0.103636,0.504348,0.426957,5.142857,0.784615,1.273776,0.103636,0,0,1,raise
0,0,1,turn,42,2,1333,75,0.916291,0.001872,1.504077,2,2,1,0.374588,0.384,0.242824,0.1325,0.3425,0.525,true,6,3,1,0.5,2.442347,0.396226,true,0.373913,0.035652,0.972973,0.28,-1.065715,0.103636,0.504348,0.426957,4.866667,0.7775,1.216278,0.103636,0,0,1,raise
0,0,1,turn,42,4,1345,70,1.504077,0.003335,2.442347,2,2,1,0.370233,0.379535,0.251628,0.124706,0.322353,0.552941,true,8,4,2,0.5,2.639057,0.38806,true,0.373913,0.035652,1,0.287912,-1.055222,0.103636,0.504348,0.426957,4.933333,0.780247,1.20896,0.103636,0,0,1,raise
0,0,1,river,42,2,1365,59,0.916291,0.001828,1.504077,2,2,1,0.365977,0.375172,0.26023,0.224,0.54,0.236,true,11,6,1,0.545455,3.020425,0.458824,true,0.373913,0.035652,1.054054,0.303226,-1.024583,0.103636,0.504348,0.426957,4.6875,0.773494,1.173792,0.103636,0,0,1,raise
0,0,1,turn,50,2,1422,89,1.704748,0.003853,2.014903,2,2,1,0.387789,0.354105,0.259368,0.117778,0.304444,0.577778,true,5,3,1,0.6,1.609438,0.258065,true,0.337037,0.048889,1.131579,0.312621,-1.005163,0.09913,0.485185,0.419259,4.388889,0.749451,1.169774,0.09913,0,1,0,call
0,0,1,river,50,1,1438.5,83.5,2.397895,0.007589,2.397895,2,2,1,0.38375,0.360833,0.256667,0.203636,0.490909,0.305455,false,6,3,0,0.5,1.609438,0.150943,false,0.337037,0.048889,1.102564,0.309615,-1.016934,0.09913,0.485185,0.419259,4.444445,0.752174,1.189209,0.09913,0,0,1,raise
0,0,1,flop,51,1,1477,99,1.252763,0.002364,1.252763,2,2,1,0.379794,0.357113,0.26433,0.346667,0.265185,0.388148,false,1,0,0,0,0,0,false,0.330909,0.048,1.128205,0.31619,-0.97737,0.095,0.494545,0.411636,4.05,0.738947,1.131315,0.095,1,0,0,fold
0,0,1,flop,57,1,1505.5,99,0.693147,0.001327,0.693147,2,2,1,0.410196,0.339608,0.251373,0.37,0.255714,0.374286,false,1,0,0,0,0,0,false,0.298361,0.043279,1.128205,0.301818,-0.97737,0.0912,0.478689,0.387541,3.952381,0.729293,1.157606,0.0912,1,0,0,fold
0,0,1,flop,67,1,1555,94,1.386294,0.002566,1.386294,2,2,1,0.449912,0.315398,0.235752,0.391724,0.246897,0.361379,false,2,0,0,0,0,0,false,0.284507,0.051268,1.125,0.282645,-0.98323,0.087692,0.48169,0.40338,4.238095,0.737736,1.182908,0.087692,0,1,0,call
0,0,1,turn,67,1,1561,90,0.693147,0.00128,0.693147,2,2,1,0.445965,0.321404,0.233684,0.111579,0.341053,0.547368,false,3,0,0,0,0,0,false,0.284507,0.051268,1.097561,0.280328,-0.991419,0.087692,0.48169,0.40338,4.285714,0.740187,1.186137,0.087692,0,0,1,raise
0,0,1,flop,82,1,1619.5,99,0.693147,0.001233,0.693147,2,2,1,0.486929,0.296378,0.217638,0.378667,0.272,0.349333,false,1,0,0,0,0,0,false,0.246512,0.042326,1.095238,0.260741,-0.985573,0.084444,0.444186,0.379535,4.318182,0.725862,1.208613,0.084444,0,0,1,raise
0,0,1,flop,87,1,1644,99,2.140066,0.005144,2.140066,2,2,1,0.494962,0.287328,0.218626,0.366452,0.263226,0.370323,false,1,0,0,0,0,0,false,0.232967,0.04,1.119048,0.260432,-0.978811,0.081429,0.441758,0.36967,4.217391,0.712397,1.221808,0.081429,1,0,0,fold
0,0,1,flop,88,2,1668.5,89,0.916291,0.001496,1.252763,2,2,1,0.491343,0.295821,0.213731,0.38625,0.255,0.35875,true,3,1,1,0.333333,0.693147,0.08,true,0.241304,0.039565,1.090909,0.26014,-0.992459,0.078621,0.447826,0.376522,4.304348,0.717073,1.233954,0.078621,0,1,0,call
0,0,1,turn,88,1,1673,86.5,0.693147,0.001194,0.693147,2,2,1,0.487704,0.301037,0.212148,0.106,0.324,0.57,false,4,1,0,0.25,0.693147,0.068966,false,0.241304,0.039565,1.066667,0.258333,-0.997402,0.078621,0.447826,0.376522,4.347826,0.719355,1.236928,0.078621,0,0,1,raise
