@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,turn,47,2,543,90,0.693147,0.00367,1.386294,2,2,1,0.534074,0.326667,0.141481,0.312,0.248,0.44,true,5,2,1,0.4,1.386294,0.272727,true,0.2,0.012549,1.136364,0.232787,-1.150071,0.207273,0.258824,0.247843,6.5,0.552941,1.509457,0.207273,0,1,0,call
0,0,1,river,47,1,556.5,88,2.442347,0.020246,2.442347,2,2,1,0.524364,0.338909,0.138909,0.448,0.48,0.072,false,6,2,0,0.333333,1.386294,0.133333,false,0.2,0.012549,1.086957,0.229032,-1.162532,0.207273,0.258824,0.247843,6.666667,0.561538,1.557634,0.207273,0,0,1,raise
0,0,1,turn,53,2,617.5,96,0.693147,0.003228,1.386294,2,2,1,0.530667,0.310667,0.160667,0.283636,0.316364,0.4,true,3,2,1,0.666667,1.386294,0.6,true,0.196491,0.028772,1.217391,0.252941,-0.98179,0.19,0.266667,0.239298,5.25,0.537931,1.344062,0.19,0,1,0,call
0,0,1,river,53,1,620.5,94,0,0.001609,0,2,2,1,0.521967,0.321967,0.158033,0.373333,0.4,0.226667,false,4,2,0,0.5,1.386294,0.5,false,0.196491,0.028772,1.166667,0.249275,-0.993252,0.19,0.266667,0.239298,5.375,0.545763,1.347976,0.19,0,1,0,call
0,0,1,flop,78,1,778,90.5,1.609438,0.006386,1.609438,2,2,1,0.580253,0.273924,0.147342,0.396364,0.287273,0.316364,false,2,0,0,0,0,0,false,0.173171,0.04439,1.153846,0.22069,-1.021054,0.175385,0.246341,0.227317,6.125,0.509333,1.654771,0.175385,0,1,0,call
0,0,1,turn,78,1,785,85.5,0.693147,0.002541,0.693147,2,2,1,0.573,0.283,0.1455,0.26,0.373333,0.366667,false,3,0,0,0,0,0,false,0.173171,0.04439,1.111111,0.218182,-1.047581,0.175385,0.246341,0.227317,6.25,0.51579,1.660296,0.175385,0,1,0,call
0,0,1,river,78,1,870.5,83.5,4.424847,0.087526,4.424847,2,2,1,0.565926,0.291852,0.143704,0.32,0.485714,0.194286,false,4,0,0,0,0,0,false,0.173171,0.04439,1.071429,0.21573,-1.057998,0.175385,0.246341,0.227317,6.375,0.522078,1.867333,0.175385,1,0,0,fold
0,0,1,flop,88,1,899,94.5,1.386294,0.00443,1.386294,2,2,1,0.589091,0.28,0.132273,0.363333,0.346667,0.29,false,2,0,0,0,0,0,false,0.165217,0.039565,1.034483,0.2,-1.081046,0.162857,0.230435,0.213478,6.625,0.508434,1.878971,0.162857,0,0,1,raise
0,0,1,flop,88,3,919,86.5,2.079442,0.00863,2.772589,2,2,1,0.582472,0.276854,0.142022,0.335385,0.32,0.344615,true,4,1,1,0.25,1.609438,0.195122,true,0.165217,0.039565,1.068966,0.208247,-1.04311,0.162857,0.230435,0.213478,6.75,0.514286,1.840442,0.162857,0,1,0,call
0,0,1,turn,88,1,948,78.5,3.044523,0.021672,3.044523,2,2,1,0.576,0.284889,0.140444,0.24,0.421538,0.338462,false,5,1,0,0.2,1.609438,0.096386,false,0.165217,0.039565,1.033333,0.206122,-1.082044,0.162857,0.230435,0.213478,6.875,0.52,1.884799,0.162857,0,0,1,raise
0,0,1,turn,88,3,1032,36.5,3.044523,0.019943,4.143135,2,2,1,0.56967,0.281758,0.14989,0.222857,0.391429,0.385714,true,7,2,1,0.285714,3.258096,0.299401,true,0.165217,0.039565,1.066667,0.214141,-0.918462,0.162857,0.230435,0.213478,7,0.525581,1.675959,0.162857,0,0,1,raise
0,0,1,flop,102,1,1202,69,1.386294,0.003317,1.386294,2,2,1,0.59068,0.258641,0.151845,0.311429,0.368571,0.32,false,2,0,0,0,0,0,false,0.162264,0.043774,1.096774,0.209009,-0.955157,0.152,0.237736,0.223019,6.777778,0.522917,1.619168,0.152,0,0,1,raise
0,0,1,flop,102,3,1221.5,61,2.014903,0.006103,2.74084,2,2,1,0.585,0.256154,0.16,0.290667,0.344,0.365333,true,4,1,1,0.25,1.609438,0.087912,true,0.162264,0.043774,1.129032,0.216071,-0.933039,0.152,0.237736,0.223019,6.888889,0.527835,1.597348,0.152,0,1,0,call
0,0,1,turn,102,1,1230.5,53.5,0.405465,0.001218,0.405465,2,2,1,0.579429,0.263238,0.158476,0.208,0.365333,0.426667,false,5,1,0,0.2,1.609438,0.085106,false,0.162264,0.043774,1.09375,0.214159,-0.958924,0.152,0.237736,0.223019,7,0.532653,1.599951,0.152,0,0,1,raise
0,0,1,turn,102,3,1238,50,0.693147,0.001613,1.704748,2,2,1,0.573962,0.260755,0.166415,0.195,0.3425,0.4625,true,7,2,1,0.285714,1.94591,0.117647,true,0.162264,0.043774,1.125,0.221053,-0.946401,0.152,0.237736,0.223019,7.111111,0.537374,1.58639,0.152,0,0,1,raise
0,0,1,turn,102,5,1246.5,46,0.916291,0.002002,2.302585,2,2,1,0.568598,0.258318,0.174206,0.183529,0.322353,0.494118,true,9,3,2,0.333333,2.197225,0.144144,true,0.162264,0.043774,1.15625,0.227826,-0.935841,0.152,0.237736,0.223019,7.222222,0.542,1.573961,0.152,0,1,0,call
0,0,1,river,102,1,1251.5,43.5,0.916291,0.001994,0.916291,2,2,1,0.563333,0.265185,0.172593,0.405,0.425,0.17,false,10,3,0,0.3,2.197225,0.137931,false,0.162264,0.043774,1.121212,0.225862,-0.944223,0.152,0.237736,0.223019,7.333333,0.546535,1.578251,0.152,0,1,0,call
0,0,1,flop,103,1,1258.5,99,0.916291,0.001983,0.916291,2,2,1,0.553091,0.278545,0.169455,0.2725,0.385,0.3425,false,1,0,0,0,0,0,false,0.170093,0.043364,1.057143,0.222034,-0.95419,0.1425,0.235514,0.220935,7.444445,0.55098,1.582523,0.1425,0,0,1,raise
0,0,1,flop,112,1,1342,83,0.693147,0.001488,0.693147,2,2,1,0.549491,0.27661,0.174915,0.256471,0.362353,0.381176,false,2,0,0,0,0,0,false,0.182759,0.048621,1.054054,0.22381,-0.98706,0.134118,0.243103,0.229655,7.888889,0.542342,1.649766,0.134118,0,1,0,call
0,0,1,turn,112,1,1350,81,1.791759,0.004425,1.791759,2,2,1,0.544874,0.282689,0.173445,0.173333,0.36,0.466667,false,3,0,0,0,0,0,false,0.182759,0.048621,1.026316,0.222047,-0.993252,0.134118,0.243103,0.229655,8,0.546429,1.659207,0.134118,0,1,0,call
0,0,1,river,112,1,1398,75,3.73767,0.029167,3.73767,2,2,1,0.540333,0.288667,0.172,0.36,0.488889,0.151111,false,4,0,0,0,0,0,false,0.182759,0.048621,1,0.220313,-1.011601,0.134118,0.243103,0.229655,8.111111,0.550442,1.722914,0.134118,0,0,1,raise
0,0,1,flop,119,1,1525,99,0.693147,0.00131,0.693147,2,2,1,0.538413,0.282857,0.179683,0.242222,0.397778,0.36,false,1,0,0,0,0,0,false,0.188618,0.053984,1.025,0.225373,-0.884626,0.126667,0.237398,0.224715,7.5,0.539496,1.484232,0.126667,1,0,0,fold
0,0,1,flop,140,1,1596,89,1.791759,0.003745,1.791759,2,2,1,0.566241,0.274043,0.160567,0.282105,0.376842,0.341053,false,2,0,0,0,0,0,false,0.175,0.046111,0.976744,0.208,-0.908519,0.114,0.230556,0.219722,8,0.520301,1.51113,0.114,0,1,0,call
0,0,1,turn,140,1,1632,83,3.401197,0.018051,3.401197,2,2,1,0.562253,0.279155,0.159437,0.164211,0.393684,0.442105,false,3,0,0,0,0,0,false,0.175,0.046111,0.954545,0.206623,-0.924003,0.114,0.230556,0.219722,8.1,0.523881,1.552429,0.114,0,0,1,raise
0,0,1,turn,140,3,1745,23,3.135494,0.013009,4.41884,2,2,1,0.558322,0.277203,0.165315,0.156,0.374,0.47,true,5,1,1,0.2,3.433987,0.30303,true,0.175,0.046111,0.977273,0.211842,-0.821089,0.114,0.230556,0.219722,8.2,0.527407,1.408113,0.114,0,1,0,call
0,0,1,flop,142,1,1883.5,43.5,0,0.000531,0,2,2,1,0.553699,0.285205,0.161918,0.268,0.408,0.324,false,2,0,0,0,0,0,false,0.179452,0.045479,0.934783,0.207742,-0.99225,0.108571,0.234247,0.223562,8.4,0.534307,1.476744,0.108571,0,1,0,call
0,0,1,turn,142,1,1885.5,42.5,0,0.00053,0,2,2,1,0.549932,0.290068,0.160816,0.148571,0.403809,0.447619,false,3,0,0,0,0,0,false,0.179452,0.045479,0.914894,0.20641,-0.994252,0.108571,0.234247,0.223562,8.5,0.537681,1.477962,0.108571,0,1,0,call
0,0,1,river,142,1,1928,41.5,3.725693,0.021071,3.725693,2,2,1,0.546216,0.294865,0.15973,0.324,0.44,0.236,false,4,0,0,0,0,0,false,0.179452,0.045479,0.895833,0.205096,-0.99625,0.108571,0.234247,0.223562,8.6,0.541007,1.527215,0.108571,1,0,0,fold
0,0,1,flop,156,1,1971.5,99,0.693147,0.001013,0.693147,2,2,1,0.562278,0.288861,0.14962,0.255238,0.43619,0.308571,false,1,0,0,0,0,0,false,0.17,0.0415,0.88,0.197619,-0.998812,0.09913,0.2325,0.2165,8.090909,0.524832,1.540824,0.09913,1,0,0,fold
0,0,1,flop,160,1,1985.5,96.5,0.916291,0.001258,0.916291,2,2,1,0.566914,0.287901,0.145926,0.289091,0.416364,0.294545,false,2,0,0,0,0,0,false,0.171951,0.040488,0.862745,0.193023,-1.00375,0.095,0.232927,0.217317,8.272727,0.527632,1.543841,0.095,0,1,0,call
0,0,1,turn,160,1,1990,94,0.693147,0.001004,0.693147,2,2,1,0.563436,0.29227,0.145031,0.141818,0.430909,0.427273,false,3,0,0,0,0,0,false,0.171951,0.040488,0.846154,0.191908,-1.008664,0.095,0.232927,0.217317,8.363636,0.530719,1.546098,0.095,0,1,0,call
0,0,1,river,160,1,1994,92,0.693147,0.001002,0.693147,2,2,1,0.56,0.296585,0.144146,0.385455,0.4,0.214545,false,4,0,0,0,0,0,false,0.171951,0.040488,0.830189,0.190805,-1.012578,0.095,0.232927,0.217317,8.454545,0.533766,1.54835,0.095,0,1,0,call
0,0,1,flop,175,2,2030.5,96,1.386294,0.001966,1.609438,2,2,1,0.562299,0.302529,0.135862,0.276522,0.441739,0.281739,true,3,1,1,0.333333,0.693147,0.142857,true,0.168715,0.037095,0.807018,0.189247,-1.011601,0.087692,0.218994,0.204693,8.636364,0.513415,1.5498,0.087692,1,0,0,fold
0,0,1,flop,179,1,2040.5,98,0.405465,0.000735,0.405465,2,2,1,0.560899,0.306966,0.132809,0.306667,0.423333,0.27,false,2,0,0,0,0,0,false,0.170492,0.036284,0.779661,0.185263,-1.014498,0.084444,0.219672,0.205683,8.818182,0.513095,1.552589,0.084444,0,0,1,raise
0,0,1,flop,187,1,2071.5,97,1.252763,0.001687,1.252763,2,2,1,0.555892,0.306162,0.138595,0.2944,0.4064,0.2992,false,2,0,0,0,0,0,false,0.173822,0.04,0.786885,0.188832,-1.009929,0.081429,0.220942,0.207539,9.090909,0.506818,1.562693,0.081429,0,0,1,raise
0,0,1,flop,187,3,2087.5,90,1.704748,0.002628,2.525729,2,2,1,0.552903,0.304516,0.143226,0.283077,0.390769,0.326154,true,4,1,1,0.25,1.504077,0.241379,true,0.173822,0.04,0.803279,0.192929,-0.998393,0.081429,0.220942,0.207539,9.181818,0.509605,1.550519,0.081429,0,1,0,call
0,0,1,turn,187,2,2101,82.5,1.386294,0.0019,1.791759,2,2,1,0.549946,0.308235,0.14246,0.135652,0.455652,0.408696,true,6,2,1,0.333333,1.871802,0.268293,true,0.173822,0.04,0.806452,0.196,-0.998529,0.081429,0.220942,0.207539,9.272727,0.51236,1.544627,0.081429,0,1,0,call
0,0,1,river,187,1,2106,78.5,0,0.000475,0,2,2,1,0.547021,0.311915,0.141702,0.353333,0.45,0.196667,false,7,2,0,0.285714,1.871802,0.255814,false,0.173822,0.04,0.793651,0.195025,-1.006019,0.081429,0.220942,0.207539,9.363636,0.515084,1.545715,0.081429,0,1,0,call
0,0,1,flop,190,1,2120,96.5,1.098612,0.001413,1.098612,2,2,1,0.543665,0.317487,0.139476,0.272593,0.413333,0.314074,false,2,0,0,0,0,0,false,0.176289,0.039381,0.769231,0.192157,-1.012528,0.078621,0.22268,0.209485,9.545455,0.517582,1.549131,0.078621,0,1,0,call
