@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
365,3995,8.292799,61,4.127134,2,2,1,0.902222,0.560113,0.294761,0.145465,9,5,0,5,0,2,3,38,17,0,17,0,9,8,4,4,0,4,0,2,2,34,13,0,13,0,7,6,0.555556,0,0.555556,0,0.5,0.6,0.447368,0,0.447368,0,0.375,0.571429,0,9,0,4,5,0,38,0,24,14,true,0.163144,0.031545,0.788991,0.198417,-0.922633,0.0456,0.195664,0.188726,9,0.500592,1.614085,0.0456,0,0,0,0,1,0,4
400,4471.5,8.405479,90,4.510859,2,2,1,0.905714,0.574715,0.286632,0.138964,5,1,0,1,0,0,1,9,2,0,2,0,0,2,4.5,0,0,0,0,0,0,4.5,2,0,2,0,0,2,0.2,0,0.25,0,0,0.5,0.222222,0,0.307692,0,0,0.571429,1,4,1,1,2,2.5,6.5,1,2,3.5,true,0.156436,0.031287,0.773913,0.190268,-1.02187,0.043846,0.203465,0.197129,9.238095,0.504683,1.748324,0.043846,0,0,0,0,1,0,4
415,4663,8.447414,15.5,2.80336,2,2,1,0.908966,0.573904,0.286247,0.140151,5,2,0,2,0,1,1,83.5,29.5,0,29.5,0,27.5,2,56,2,0,2,0,0,2,27.5,27.5,0,27.5,0,27.5,0,0.4,0,0.5,0,0.5,1,0.353293,0,0.504274,0,0.5,1,1,4,1,2,1,25,58.5,1.5,55,2,true,0.155609,0.032554,0.779661,0.191962,-0.994467,0.043019,0.198568,0.192458,8.565217,0.495213,1.69703,0.043019,0,0,0,1,0,0,3
537,5402,8.594524,59,4.094345,2,2,1,0.922353,0.600489,0.272179,0.127576,7,2,0,2,0,1,1,40,4,0,4,0,2,2,17.5,2,0,2,0,0,2,22.5,2,0,2,0,2,0,0.285714,0,0.333333,0,0.333333,0.5,0.1,0,0.131148,0,0.333333,0.097561,1,6,1,3,2,9.5,30.5,4,6,20.5,false,0.148244,0.030758,0.753623,0.178544,-1.011492,0.035625,0.187061,0.182329,10,0.474459,1.819031,0.035625,0,0,0,0,0,1,5
604,5925.5,8.68702,60,4.110874,2,2,1,0.926667,0.612847,0.263942,0.123431,8,3,0,3,1,1,1,39,8.5,0,8.5,2,3.5,3,8.5,0,0,0,0,0,0,30.5,8.5,0,8.5,2,3.5,3,0.375,0,0.428571,0.333333,0.5,0.5,0.217949,0,0.395349,0.235294,0.5,0.5,1,7,3,2,2,17.5,21.5,8.5,7,6,true,0.148355,0.029013,0.744966,0.172461,-1.006659,0.032571,0.194408,0.190197,9.769231,0.474074,1.800752,0.032571,0,0,0,0,0,1,5
622,6271.5,8.743771,0,0,2,2,1,0.926667,0.611318,0.266503,0.12239,7,2,0,2,1,1,0,99,6,0,6,1,5,0,84.5,0,0,0,0,0,0,14.5,6,0,6,1,5,0,0.285714,0,0.333333,0.333333,0.5,0,0.060606,0,0.061856,0.117647,0.5,0,1,6,3,2,1,2,97,8.5,10,78.5,false,0.148882,0.028179,0.724359,0.169767,-1.085681,0.031667,0.196805,0.192716,9.851851,0.480603,1.846322,0.031667,0,0,0,0,0.166667,0.833333,5
661,6656,8.803274,44.5,3.817712,2,2,1,0.934,0.602702,0.267941,0.129555,11,5,0,5,4,1,0,54.5,24.5,0,24.5,21.5,3,0,10.5,1,0,1,1,0,0,44,23.5,0,23.5,20.5,3,0,0.454545,0,0.5,0.571429,0.5,0,0.449541,0,0.5,0.511905,0.5,0,1,10,7,2,1,5.5,49,42,6,1,false,0.150677,0.02803,0.754491,0.178882,-1.026824,0.029231,0.195789,0.19194,9.466666,0.478459,1.783423,0.029231,0,0,0,0,1,0,4
758,7283,8.893298,72.5,4.297286,2,2,1,0.942609,0.620556,0.25716,0.12246,8,3,0,3,1,2,0,26.5,10.5,0,10.5,5.5,5,0,10,0,0,0,0,0,0,16.5,10.5,0,10.5,5.5,5,0,0.375,0,0.428571,0.5,0.5,0,0.396226,0,0.456522,0.5,0.5,0,1,7,2,4,1,3.5,23,11,10,2,false,0.147244,0.025774,0.761111,0.173829,-1.010433,0.025618,0.198425,0.193753,9.454545,0.470625,1.867893,0.025618,0,0,0,0,0,1,5
825,7631,8.939974,77,4.356709,2,2,1,0.9472,0.632797,0.249168,0.118199,6,3,0,3,1,1,1,22,8.5,0,8.5,4.5,2,2,8.5,4,0,4,0,2,2,13.5,4.5,0,4.5,4.5,0,0,0.5,0,0.5,0.333333,0.5,1,0.386364,0,0.386364,0.3,0.4,1,0,6,3,2,1,0,22,15,5,2,true,0.143788,0.026104,0.770053,0.170769,-0.999048,0.024783,0.19807,0.193776,9.647058,0.464422,1.897341,0.024783,0,0,0,0,1,0,4
865,7902,8.974872,60,4.110874,2,2,1,0.952,0.629181,0.251808,0.119168,11,6,1,5,0,3,2,39,20.5,1,19.5,0,12.5,7,6,4,0,4,0,2,2,33,16.5,1,15.5,0,10.5,5,0.545455,0.5,0.555556,0,0.6,0.666667,0.525641,0.5,0.527027,0,0.543478,0.583333,2,9,1,5,3,2,37,2,23,12,true,0.142923,0.026053,0.777778,0.174421,-0.979546,0.023505,0.197008,0.192911,9.297297,0.462136,1.882071,0.023505,0,0,0,0,0,1,5
