@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,flop,367,false,0,4000.5,98,2,2,1,0.902222,0.854118,1,0,0,0,0,false,0.16496,0.031375,0.774775,0.197375,-0.924281,0.044706,0.197305,0.190404,9.05,0.500588,1.61463,0.044706,1,bet
0,0,2,river,415,false,0,4659,17.5,2,2,1,0.905714,0.48,4,1,0.25,3.349904,0.337423,true,0.155609,0.032554,0.771186,0.190047,-0.99953,0.043019,0.198568,0.192458,8.954545,0.496533,1.702017,0.043019,1,bet
0,0,2,flop,461,false,0,4860.5,99,2,2,1,0.908966,0.862222,0,0,0,0,0,false,0.146667,0.031484,0.772358,0.184245,-0.992115,0.041455,0.191828,0.186323,9.043478,0.486914,1.697612,0.041455,1,bet
0,0,2,turn,481,false,0,4964.5,99,2,2,1,0.912,0.803077,0,0,0,0,0,false,0.148866,0.030186,0.757813,0.181474,-0.992664,0.038644,0.190103,0.184825,9.347826,0.485036,1.720626,0.038644,1,bet
0,0,2,flop,505,false,0,5036,99,2,2,1,0.914839,0.869474,0,0,0,0,0,false,0.149705,0.030727,0.755725,0.179268,-0.987173,0.037377,0.187033,0.182004,9.521739,0.47643,1.730799,0.037377,1,bet
0,0,2,flop,529,false,0,5288,99,2,2,1,0.9175,0.876,0,0,0,0,0,false,0.146717,0.029343,0.75188,0.174902,-0.993297,0.03619,0.186116,0.181313,9.73913,0.472727,1.808659,0.03619,1,bet
0,0,2,river,537,false,0,5361,79.5,2,2,1,0.92,0.566667,5,1,0.2,1.098612,0.102564,false,0.148244,0.030758,0.751825,0.177308,-1.000103,0.035625,0.187061,0.182329,9.956522,0.473319,1.816664,0.035625,1,bet
0,0,2,flop,569,false,0,5535.5,99,2,2,1,0.922353,0.881905,0,0,0,0,0,false,0.145201,0.030785,0.75,0.172844,-1.010411,0.035077,0.188831,0.184363,10.304348,0.47125,1.840716,0.035077,1,bet
0,0,2,flop,581,false,0,5757.5,99,2,2,1,0.924571,0.887273,0,0,0,0,0,false,0.145641,0.030154,0.748252,0.173333,-0.998121,0.03403,0.188376,0.184,10,0.467755,1.798455,0.03403,1,bet
0,0,2,flop,633,false,0,6313.5,99,2,2,1,0.926667,0.892174,0,0,0,0,0,false,0.147881,0.027692,0.719745,0.167816,-1.086043,0.031233,0.194976,0.190958,9.888889,0.477985,1.853325,0.031233,1,bet
0,0,2,turn,635,false,0,6459.5,99,2,2,1,0.928649,0.817143,0,0,0,0,0,false,0.150548,0.027606,0.726708,0.172123,-1.061845,0.0304,0.195931,0.191925,9.75,0.481985,1.813932,0.0304,1,bet
0,0,2,flop,637,false,0,6465,99,2,2,1,0.930526,0.896667,0,0,0,0,0,false,0.151638,0.027519,0.728395,0.173183,-1.058154,0.03,0.19532,0.191326,9.75,0.48022,1.813932,0.03,1,bet
0,0,2,flop,661,false,0,6558,93.5,2,2,1,0.932308,0.9008,1,0,0,0,0,false,0.150677,0.02803,0.728916,0.172727,-1.05779,0.029231,0.195789,0.19194,9.964286,0.475532,1.8228,0.029231,1,bet
