@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,27,false,0,386.5,99.5,-0.693147,0.001292,0,2,2,1,0.46375,0.30125,0.23875,0.611429,0.36,0.028571,true,0,0,0,0,0,false,0.167742,0.020645,1.571429,0.311111,-0.64623,0.285,0.167742,0.149677,3.857143,0.476471,0.811864,0.285,1,0,0,fold
0,0,2,29,false,0,389.5,99.5,-0.693147,0.001282,0,2,2,1,0.48,0.292121,0.231515,0.629091,0.343636,0.027273,true,0,0,0,0,0,false,0.157576,0.019394,1.571429,0.302703,-0.64623,0.285,0.157576,0.140606,3.857143,0.462857,0.811864,0.285,0,1,0,call
0,0,2,31,false,0,394,99.5,-0.693147,0.001267,0,2,2,1,0.481143,0.304,0.218286,0.601739,0.372174,0.026087,true,0,0,0,0,0,false,0.177143,0.018286,1.466667,0.287179,-0.650588,0.253333,0.148571,0.132571,4,0.464865,0.819298,0.253333,1,0,0,fold
0,0,2,33,false,0,397,99.5,-0.693147,0.001258,0,2,2,1,0.495556,0.295556,0.212222,0.618333,0.356667,0.025,true,0,0,0,0,0,false,0.167568,0.017297,1.466667,0.28,-0.650588,0.253333,0.140541,0.125405,4,0.452632,0.819298,0.253333,1,0,0,fold
0,0,2,35,false,0,400,99.5,-0.693147,0.001248,0,2,2,1,0.509189,0.287568,0.206486,0.6336,0.3424,0.024,true,0,0,0,0,0,false,0.158974,0.01641,1.466667,0.273171,-0.650588,0.253333,0.133333,0.118974,4,0.441026,0.819298,0.253333,1,0,0,fold
0,0,2,37,false,0,403,99.5,-0.693147,0.001239,0,2,2,1,0.522105,0.28,0.201053,0.647692,0.329231,0.023077,true,0,0,0,0,0,false,0.15122,0.01561,1.466667,0.266667,-0.650588,0.253333,0.126829,0.113171,4,0.43,0.819298,0.253333,1,0,0,fold
0,0,2,39,false,0,406,99.5,-0.693147,0.00123,0,2,2,1,0.534359,0.272821,0.195897,0.660741,0.317037,0.022222,true,0,0,0,0,0,false,0.144186,0.014884,1.466667,0.260465,-0.650588,0.253333,0.12093,0.107907,4,0.419512,0.819298,0.253333,1,0,0,fold
0,0,2,41,false,0,409,99.5,-0.693147,0.001221,0,2,2,1,0.546,0.266,0.191,0.672857,0.305714,0.021429,true,0,0,0,0,0,false,0.137778,0.014222,1.466667,0.254545,-0.650588,0.253333,0.115556,0.103111,4,0.409524,0.819298,0.253333,1,0,0,fold
0,0,1,42,true,1,415.5,99,1.504077,0.010714,1.704748,2,2,1,0.557073,0.259512,0.186341,0.684138,0.295172,0.02069,true,1,0,0,0,0,false,0.134783,0.013913,1.466667,0.248889,-0.650588,0.253333,0.134783,0.122609,4.142857,0.423256,0.84372,0.253333,1,0,0,fold
0,0,2,43,false,0,417,99.5,-0.693147,0.001198,0,2,2,1,0.567619,0.253333,0.181905,0.694667,0.285333,0.02,true,0,0,0,0,0,false,0.131915,0.013617,1.466667,0.243478,-0.650588,0.253333,0.131915,0.12,4.142857,0.423256,0.84372,0.253333,1,0,0,fold
0,0,2,45,false,0,420,99.5,-0.693147,0.001189,0,2,2,1,0.577674,0.247442,0.177674,0.704516,0.276129,0.019355,true,0,0,0,0,0,false,0.126531,0.013061,1.466667,0.238298,-0.650588,0.253333,0.126531,0.115102,4.142857,0.413636,0.84372,0.253333,1,0,0,fold
0,0,1,46,true,1,431,99,2.197225,0.020455,2.302585,2,2,1,0.587273,0.241818,0.173636,0.71375,0.2675,0.01875,true,1,0,0,0,0,false,0.124,0.0128,1.466667,0.233333,-0.650588,0.253333,0.144,0.1328,4.285714,0.426667,0.897942,0.253333,1,0,0,fold
0,0,2,47,false,0,432.5,99.5,-0.693147,0.001155,0,2,2,1,0.596444,0.236444,0.169778,0.722424,0.259394,0.018182,true,0,0,0,0,0,false,0.121569,0.012549,1.466667,0.228571,-0.650588,0.253333,0.141176,0.130196,4.285714,0.426667,0.897942,0.253333,0,1,0,call
1,1,0,47,true,2,436,99,1.098612,0.006834,1.386294,2,2,1,0.583478,0.253043,0.166087,0.701176,0.281176,0.017647,true,1,0,0,0,0,false,0.141176,0.012549,1.375,0.224,-0.654926,0.253333,0.160784,0.149804,4.428571,0.43913,0.917942,0.253333,0,1,0,call
0,0,2,49,false,0,511,99.5,-0.693147,0.000978,0,2,2,1,0.526275,0.287059,0.18902,0.681143,0.301714,0.017143,true,0,0,0,0,0,false,0.135849,0.012075,1.315789,0.253571,-0.579034,0.228,0.154717,0.144151,4.375,0.465385,0.789048,0.228,1,0,0,fold
0,0,1,50,true,1,540.5,99,3.314186,0.048415,3.349904,2,2,1,0.535385,0.281538,0.185385,0.69,0.293333,0.016667,true,1,0,0,0,0,false,0.133333,0.011852,1.315789,0.249123,-0.579034,0.228,0.17037,0.16,4.5,0.475472,0.932926,0.228,1,0,0,fold
0,0,2,51,false,0,542,99.5,-0.693147,0.000922,0,2,2,1,0.544151,0.276226,0.181887,0.698378,0.285405,0.016216,true,0,0,0,0,0,false,0.130909,0.011636,1.315789,0.244828,-0.579034,0.228,0.167273,0.157091,4.5,0.475472,0.932926,0.228,1,0,0,fold
0,0,2,53,false,0,545,99.5,-0.693147,0.000917,0,2,2,1,0.552593,0.271111,0.178519,0.706316,0.277895,0.015789,true,0,0,0,0,0,false,0.126316,0.011228,1.315789,0.240678,-0.579034,0.228,0.161404,0.151579,4.5,0.466667,0.932926,0.228,0,0,1,raise
0,0,1,53,true,2,554,98,1.871802,0.011597,2.140066,2,2,1,0.542545,0.266182,0.193455,0.688205,0.270769,0.041026,true,2,1,0.5,0.693147,0.133333,true,0.14386,0.028772,1.368421,0.253333,-0.569703,0.228,0.178947,0.169123,4.625,0.476364,0.952567,0.228,1,0,0,fold
0,0,2,55,false,0,557,99.5,-0.693147,0.000897,0,2,2,1,0.550714,0.261429,0.19,0.696,0.264,0.04,true,0,0,0,0,0,false,0.138983,0.027797,1.368421,0.24918,-0.569703,0.228,0.172881,0.16339,4.625,0.467857,0.952567,0.228,1,0,0,fold
0,0,2,57,false,0,560,99.5,-0.693147,0.000892,0,2,2,1,0.558596,0.256842,0.186667,0.703415,0.257561,0.039024,true,0,0,0,0,0,false,0.134426,0.026885,1.368421,0.245161,-0.569703,0.228,0.167213,0.158033,4.625,0.459649,0.952567,0.228,1,0,0,fold
