@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,23,false,0,861.5,99.5,-0.693147,0.00058,0,2,2,1,0.428,0.454667,0.121333,0.51619,0.455238,0.028571,true,0,0,0,0,0,false,0.22963,0.023704,1,0.211765,-2.255597,0.253333,0.266667,0.245926,4.5,0.54,2.790863,0.253333,0,1,0,call
0,0,2,25,false,0,866,99.5,-0.693147,0.000577,0,2,2,1,0.4325,0.4575,0.11375,0.492727,0.48,0.027273,true,0,0,0,0,0,false,0.248276,0.022069,0.947368,0.2,-2.257313,0.228,0.248276,0.228966,4.666667,0.5375,2.792873,0.228,1,0,0,fold
0,0,2,27,false,0,869,99.5,-0.693147,0.000575,0,2,2,1,0.449697,0.443636,0.110303,0.514783,0.45913,0.026087,true,0,0,0,0,0,false,0.232258,0.020645,0.947368,0.194595,-2.257313,0.228,0.232258,0.214194,4.666667,0.521212,2.792873,0.228,1,0,0,fold
0,0,2,29,false,0,872,99.5,-0.693147,0.000573,0,2,2,1,0.465882,0.430588,0.107059,0.535,0.44,0.025,true,0,0,0,0,0,false,0.218182,0.019394,0.947368,0.189474,-2.257313,0.228,0.218182,0.201212,4.666667,0.505882,2.792873,0.228,0,1,0,call
0,0,2,31,false,0,899,99.5,-0.693147,0.000556,0,2,2,1,0.455135,0.44973,0.098378,0.5136,0.4624,0.024,true,0,0,0,0,0,false,0.234286,0.018286,0.904762,0.195238,-2.230185,0.207273,0.205714,0.189714,5,0.518919,2.800952,0.207273,1,0,0,fold
0,0,2,33,false,0,902,99.5,-0.693147,0.000554,0,2,2,1,0.469474,0.437895,0.095789,0.532308,0.444615,0.023077,true,0,0,0,0,0,false,0.221622,0.017297,0.904762,0.190698,-2.230185,0.207273,0.194595,0.179459,5,0.505263,2.800952,0.207273,1,0,0,fold
0,0,2,35,false,0,905,99.5,-0.693147,0.000552,0,2,2,1,0.483077,0.426667,0.093333,0.54963,0.428148,0.022222,true,0,0,0,0,0,false,0.210256,0.01641,0.904762,0.186364,-2.230185,0.207273,0.184615,0.170256,5,0.492308,2.800952,0.207273,1,0,0,fold
0,0,2,37,false,0,908,99.5,-0.693147,0.00055,0,2,2,1,0.496,0.416,0.091,0.565714,0.412857,0.021429,true,0,0,0,0,0,false,0.2,0.01561,0.904762,0.182222,-2.230185,0.207273,0.17561,0.161951,5,0.48,2.800952,0.207273,0,1,0,call
0,0,2,39,false,0,912.5,99.5,-0.693147,0.000548,0,2,2,1,0.483902,0.430244,0.08878,0.546207,0.433103,0.02069,true,0,0,0,0,0,false,0.213953,0.014884,0.909091,0.195745,-2.200638,0.19,0.167442,0.154419,5,0.457143,2.800952,0.19,0,1,0,call
0,0,2,41,false,0,926.5,99.5,-0.693147,0.000539,0,2,2,1,0.484651,0.433488,0.084651,0.528,0.452,0.02,true,0,0,0,0,0,false,0.226667,0.014222,0.869565,0.187755,-2.20234,0.175385,0.16,0.147556,5.166667,0.459091,2.821001,0.175385,1,0,0,fold
0,0,2,43,false,0,976,99.5,-0.693147,0.000512,0,2,2,1,0.496522,0.405217,0.10087,0.543226,0.437419,0.019355,true,0,0,0,0,0,false,0.217021,0.013617,0.913043,0.196154,-2.124199,0.162857,0.174468,0.141277,4.714286,0.47234,2.783246,0.162857,1,0,0,fold
0,0,1,44,true,1,990.5,99,2.525729,0.012463,2.60269,2,2,1,0.507234,0.396596,0.098723,0.5575,0.42375,0.01875,true,1,0,0,0,0,false,0.2125,0.013333,0.913043,0.192453,-2.124199,0.162857,0.191667,0.159167,4.857143,0.483333,2.790906,0.162857,1,0,0,fold
0,0,2,45,false,0,992,99.5,-0.693147,0.000504,0,2,2,1,0.5175,0.388333,0.096667,0.570909,0.410909,0.018182,true,0,0,0,0,0,false,0.208163,0.013061,0.913043,0.188889,-2.124199,0.162857,0.187755,0.155918,4.857143,0.483333,2.790906,0.162857,1,0,0,fold
0,0,1,46,true,1,998,99,1.386294,0.003992,1.609438,2,2,1,0.527347,0.380408,0.094694,0.583529,0.398824,0.017647,true,1,0,0,0,0,false,0.204,0.0128,0.913043,0.185455,-2.124199,0.162857,0.204,0.1728,5,0.493878,2.78381,0.162857,1,0,0,fold
0,0,2,47,false,0,999.5,99.5,-0.693147,0.0005,0,2,2,1,0.5368,0.3728,0.0928,0.595429,0.387429,0.017143,true,0,0,0,0,0,false,0.2,0.012549,0.913043,0.182143,-2.124199,0.162857,0.2,0.169412,5,0.493878,2.78381,0.162857,0,1,0,call
1,1,0,47,true,2,1036.5,99,3.597312,0.034017,3.624341,2,2,1,0.526275,0.385098,0.09098,0.578889,0.404444,0.016667,true,1,0,0,0,0,false,0.219608,0.012549,0.875,0.178947,-2.125881,0.162857,0.219608,0.18902,5.142857,0.504,2.844586,0.162857,0,1,0,call
0,0,1,48,true,1,1136.5,99,3.449988,0.026969,3.48124,2,2,1,0.488,0.411636,0.102545,0.563243,0.420541,0.016216,true,1,0,0,0,0,false,0.215385,0.012308,0.851852,0.196774,-2.195781,0.152,0.234615,0.204615,5,0.530909,2.81972,0.152,1,0,0,fold
0,0,2,49,false,0,1138,99.5,-0.693147,0.000439,0,2,2,1,0.497143,0.404286,0.100714,0.574737,0.409474,0.015789,true,0,0,0,0,0,false,0.211321,0.012075,0.851852,0.193651,-2.195781,0.152,0.230189,0.200755,5,0.530909,2.81972,0.152,1,0,0,fold
0,0,2,51,false,0,1141,99.5,-0.693147,0.000438,0,2,2,1,0.505965,0.397193,0.098947,0.585641,0.398974,0.015385,true,0,0,0,0,0,false,0.203636,0.011636,0.851852,0.190625,-2.195781,0.152,0.221818,0.193455,5,0.521429,2.81972,0.152,0,1,0,call
0,0,2,53,false,0,1146.5,99.5,-0.693147,0.000436,0,2,2,1,0.497241,0.407586,0.097241,0.571,0.414,0.015,true,0,0,0,0,0,false,0.214035,0.011228,0.857143,0.2,-2.146581,0.1425,0.214035,0.186667,5,0.503448,2.81972,0.1425,0,0,1,raise
0,0,2,55,false,0,1151,99.5,-0.693147,0.000434,0,2,2,1,0.488814,0.400678,0.112542,0.557073,0.403902,0.039024,true,0,0,0,0,0,false,0.223729,0.027797,0.892857,0.21194,-2.123631,0.1425,0.20678,0.180339,5,0.486667,2.81972,0.1425,1,0,0,fold
0,0,2,57,false,0,1154,99.5,-0.693147,0.000433,0,2,2,1,0.497333,0.394,0.110667,0.567619,0.394286,0.038095,true,0,0,0,0,0,false,0.216393,0.026885,0.892857,0.208824,-2.123631,0.1425,0.2,0.174426,5,0.478689,2.81972,0.1425,1,0,0,fold
0,0,2,59,false,0,1157,99.5,-0.693147,0.000432,0,2,2,1,0.505574,0.387541,0.108852,0.577674,0.385116,0.037209,true,0,0,0,0,0,false,0.209524,0.026032,0.892857,0.205797,-2.123631,0.1425,0.193651,0.168889,5,0.470968,2.81972,0.1425,1,0,0,fold
0,0,2,61,false,0,1160,99.5,-0.693147,0.000431,0,2,2,1,0.513548,0.38129,0.107097,0.587273,0.376364,0.036364,true,0,0,0,0,0,false,0.203077,0.025231,0.892857,0.202857,-2.123631,0.1425,0.187692,0.163692,5,0.463492,2.81972,0.1425,1,0,0,fold
0,0,1,62,true,1,1185,99,3.135494,0.01904,3.178054,2,2,1,0.52127,0.375238,0.105397,0.596444,0.368,0.035556,true,1,0,0,0,0,false,0.2,0.024848,0.892857,0.2,-2.123631,0.1425,0.2,0.176364,5.125,0.471875,2.841269,0.1425,1,0,0,fold
0,0,2,63,false,0,1186.5,99.5,-0.693147,0.000421,0,2,2,1,0.52875,0.369375,0.10375,0.605217,0.36,0.034783,true,0,0,0,0,0,false,0.197015,0.024478,0.892857,0.197222,-2.123631,0.1425,0.197015,0.173731,5.125,0.471875,2.841269,0.1425,0,0,1,raise
0,0,1,63,true,2,1224,98,3.555348,0.0278,3.610918,2,2,1,0.520615,0.363692,0.117538,0.59234,0.35234,0.055319,true,2,1,0.5,0.693147,0.027778,true,0.21194,0.039403,0.928571,0.208219,-2.101261,0.1425,0.21194,0.188657,5.25,0.48,2.866373,0.1425,0,1,0,call
0,0,2,65,false,0,1378,99.5,-0.693147,0.000363,0,2,2,1,0.47,0.37,0.161667,0.58,0.365833,0.054167,true,0,0,0,0,0,false,0.205797,0.038261,1.064516,0.26747,-1.783331,0.134118,0.205797,0.183188,5.333333,0.509589,2.402564,0.134118,1,0,0,fold
0,0,2,67,false,0,1381,99.5,-0.693147,0.000362,0,2,2,1,0.47726,0.364931,0.159452,0.588571,0.358367,0.053061,true,0,0,0,0,0,false,0.2,0.037183,1.064516,0.264286,-1.783331,0.134118,0.2,0.178028,5.333333,0.502703,2.402564,0.134118,1,0,0,fold
0,0,2,69,false,0,1384,99.5,-0.693147,0.000361,0,2,2,1,0.484324,0.36,0.157297,0.5968,0.3512,0.052,true,0,0,0,0,0,false,0.194521,0.036164,1.064516,0.261176,-1.783331,0.134118,0.194521,0.173151,5.333333,0.496,2.402564,0.134118,1,0,0,fold
0,0,2,71,false,0,1387,99.5,-0.693147,0.00036,0,2,2,1,0.4912,0.3552,0.1552,0.604706,0.344314,0.05098,true,0,0,0,0,0,false,0.189333,0.0352,1.064516,0.25814,-1.783331,0.134118,0.189333,0.168533,5.333333,0.489474,2.402564,0.134118,1,0,0,fold
0,0,2,73,false,0,1390,99.5,-0.693147,0.00036,0,2,2,1,0.497895,0.350526,0.153158,0.612308,0.337692,0.05,true,0,0,0,0,0,false,0.184416,0.034286,1.064516,0.255172,-1.783331,0.134118,0.184416,0.164156,5.333333,0.483117,2.402564,0.134118,1,0,0,fold
0,0,2,75,false,0,1393,99.5,-0.693147,0.000359,0,2,2,1,0.504416,0.345974,0.151169,0.619623,0.331321,0.049057,true,0,0,0,0,0,false,0.179747,0.033418,1.064516,0.252273,-1.783331,0.134118,0.179747,0.16,5.333333,0.476923,2.402564,0.134118,0,0,1,raise
0,0,1,75,true,2,1416.5,98,3.044523,0.014609,3.135494,2,2,1,0.497949,0.341538,0.162051,0.608148,0.325185,0.066667,true,2,1,0.5,0.693147,0.045455,true,0.192405,0.046076,1.096774,0.260674,-1.770253,0.134118,0.192405,0.172658,5.444445,0.483544,2.415525,0.134118,1,0,0,fold
0,0,2,77,false,0,1419.5,99.5,-0.693147,0.000352,0,2,2,1,0.504304,0.337215,0.16,0.615273,0.319273,0.065455,true,0,0,0,0,0,false,0.187654,0.044938,1.096774,0.257778,-1.770253,0.134118,0.187654,0.168395,5.444445,0.4775,2.415525,0.134118,1,0,0,fold
0,0,1,78,true,1,1429.5,99,2.079442,0.005565,2.197225,2,2,1,0.5105,0.333,0.158,0.622143,0.313571,0.064286,true,1,0,0,0,0,false,0.185366,0.04439,1.096774,0.254945,-1.770253,0.134118,0.197561,0.178537,5.555555,0.483951,2.418608,0.134118,0,1,0,call
0,0,2,79,false,0,1621,99.5,-0.693147,0.000308,0,2,2,1,0.498049,0.337073,0.166341,0.611228,0.325614,0.063158,true,0,0,0,0,0,false,0.195181,0.043855,1.09375,0.260215,-1.832333,0.126667,0.195181,0.176386,5.1,0.484337,2.382918,0.126667,1,0,0,fold
0,0,2,81,false,0,1624,99.5,-0.693147,0.000308,0,2,2,1,0.504096,0.333012,0.164337,0.617931,0.32,0.062069,true,0,0,0,0,0,false,0.190588,0.042824,1.09375,0.257447,-1.832333,0.126667,0.190588,0.172235,5.1,0.478571,2.382918,0.126667,1,0,0,fold
0,0,2,83,false,0,1627,99.5,-0.693147,0.000307,0,2,2,1,0.51,0.329048,0.162381,0.624407,0.314576,0.061017,true,0,0,0,0,0,false,0.186207,0.041839,1.09375,0.254737,-1.832333,0.126667,0.186207,0.168276,5.1,0.472941,2.382918,0.126667,1,0,0,fold
0,0,2,85,false,0,1630,99.5,-0.693147,0.000307,0,2,2,1,0.515765,0.325176,0.160471,0.630667,0.309333,0.06,true,0,0,0,0,0,false,0.182022,0.040899,1.09375,0.252083,-1.832333,0.126667,0.182022,0.164494,5.1,0.467442,2.382918,0.126667,1,0,0,fold
0,0,2,87,false,0,1633,99.5,-0.693147,0.000306,0,2,2,1,0.521395,0.321395,0.158605,0.636721,0.304262,0.059016,true,0,0,0,0,0,false,0.178022,0.04,1.09375,0.249485,-1.832333,0.126667,0.178022,0.160879,5.1,0.462069,2.382918,0.126667,1,0,0,fold
0,0,1,88,true,1,1637,99,0.693147,0.00122,1.098612,2,2,1,0.526897,0.317701,0.156782,0.642581,0.299355,0.058065,true,1,0,0,0,0,false,0.176087,0.039565,1.09375,0.246939,-1.832333,0.126667,0.186957,0.17,5.2,0.468182,2.378967,0.126667,0,1,0,call
0,0,2,89,false,0,1834.5,99.5,-0.693147,0.000272,0,2,2,1,0.48766,0.336596,0.177021,0.632381,0.310476,0.057143,true,0,0,0,0,0,false,0.184946,0.03914,1.055556,0.259048,-1.565256,0.12,0.184946,0.168172,5.8,0.502128,2.061191,0.12,1,0,0,fold
0,0,1,90,true,1,1841.5,99,1.609438,0.002708,1.791759,2,2,1,0.493053,0.333053,0.175158,0.638125,0.305625,0.05625,true,1,0,0,0,0,false,0.182979,0.038723,1.055556,0.256604,-1.565256,0.12,0.193617,0.177021,5.9,0.507368,2.062347,0.12,1,0,0,fold
0,0,2,91,false,0,1843,99.5,-0.693147,0.000271,0,2,2,1,0.498333,0.329583,0.173333,0.643692,0.300923,0.055385,true,0,0,0,0,0,false,0.181053,0.038316,1.055556,0.254206,-1.565256,0.12,0.191579,0.175158,5.9,0.507368,2.062347,0.12,1,0,0,fold
0,0,1,92,true,1,1853,99,2.079442,0.004299,2.197225,2,2,1,0.503505,0.326186,0.171546,0.649091,0.296364,0.054545,true,1,0,0,0,0,false,0.179167,0.037917,1.055556,0.251852,-1.565256,0.12,0.2,0.18375,6,0.5125,2.066703,0.12,1,0,0,fold
0,0,2,93,false,0,1854.5,99.5,-0.693147,0.00027,0,2,2,1,0.508571,0.322857,0.169796,0.654328,0.29194,0.053731,true,0,0,0,0,0,false,0.17732,0.037526,1.055556,0.249541,-1.565256,0.12,0.197938,0.181856,6,0.5125,2.066703,0.12,1,0,0,fold
0,0,1,94,true,1,1866,99,2.251292,0.005065,2.351375,2,2,1,0.513535,0.319596,0.168081,0.659412,0.287647,0.052941,true,1,0,0,0,0,false,0.17551,0.037143,1.055556,0.247273,-1.565256,0.12,0.206122,0.190204,6.1,0.517526,2.07259,0.12,0,1,0,call
0,0,2,95,false,0,1974.5,99.5,-0.693147,0.000253,0,2,2,1,0.508235,0.32,0.172941,0.649855,0.297971,0.052174,true,0,0,0,0,0,false,0.183838,0.036768,1.054054,0.249558,-1.555553,0.114,0.20404,0.188283,6.3,0.527273,2.1261,0.114,1,0,0,fold
0,0,2,97,false,0,1977.5,99.5,-0.693147,0.000253,0,2,2,1,0.51301,0.316893,0.171262,0.654857,0.293714,0.051429,true,0,0,0,0,0,false,0.180198,0.03604,1.054054,0.247368,-1.555553,0.114,0.2,0.184554,6.3,0.522,2.1261,0.114,1,0,0,fold
0,0,2,99,false,0,1980.5,99.5,-0.693147,0.000252,0,2,2,1,0.517692,0.313846,0.169615,0.659718,0.289577,0.050704,true,0,0,0,0,0,false,0.176699,0.03534,1.054054,0.245217,-1.555553,0.114,0.196117,0.180971,6.3,0.516832,2.1261,0.114,1,0,0,fold
0,0,2,101,false,0,1983.5,99.5,-0.693147,0.000252,0,2,2,1,0.522286,0.310857,0.168,0.664444,0.285556,0.05,true,0,0,0,0,0,false,0.173333,0.034667,1.054054,0.243103,-1.555553,0.114,0.192381,0.177524,6.3,0.511765,2.1261,0.114,0,0,1,raise
0,0,1,101,true,2,1993.5,98,2.014903,0.003748,2.251292,2,2,1,0.517358,0.307925,0.175849,0.655342,0.281644,0.063014,true,2,1,0.5,0.693147,0.117647,true,0.182857,0.04419,1.081081,0.249573,-1.548254,0.114,0.201905,0.187048,6.4,0.516505,2.125251,0.114,1,0,0,fold
0,0,2,103,false,0,1996.5,99.5,-0.693147,0.00025,0,2,2,1,0.521869,0.305047,0.174206,0.66,0.277838,0.062162,true,0,0,0,0,0,false,0.179439,0.043364,1.081081,0.247458,-1.548254,0.114,0.198131,0.183551,6.4,0.511538,2.125251,0.114,0,1,0,call
0,0,2,105,false,0,2018,99.5,-0.693147,0.000248,0,2,2,1,0.512294,0.308624,0.180183,0.6512,0.287467,0.061333,true,0,0,0,0,0,false,0.185321,0.042569,1.078947,0.251667,-1.511799,0.108571,0.194495,0.180183,6.5,0.506542,2.131012,0.108571,1,0,0,fold
0,0,2,107,false,0,2021,99.5,-0.693147,0.000247,0,2,2,1,0.516727,0.305818,0.178545,0.655789,0.283684,0.060526,true,0,0,0,0,0,false,0.181982,0.041802,1.078947,0.249587,-1.511799,0.108571,0.190991,0.176937,6.5,0.501852,2.131012,0.108571,0,0,1,raise
0,0,2,109,false,0,2025.5,99.5,-0.693147,0.000247,0,2,2,1,0.512072,0.303063,0.185946,0.647273,0.28,0.072727,true,0,0,0,0,0,false,0.187611,0.049912,1.105263,0.255738,-1.504932,0.108571,0.187611,0.173805,6.5,0.492727,2.131012,0.108571,1,0,0,fold
0,0,2,111,false,0,2028.5,99.5,-0.693147,0.000246,0,2,2,1,0.516429,0.300357,0.184286,0.651795,0.27641,0.071795,true,0,0,0,0,0,false,0.184348,0.049043,1.105263,0.253659,-1.504932,0.108571,0.184348,0.170783,6.5,0.488288,2.131012,0.108571,1,0,0,fold
0,0,2,113,false,0,2031.5,99.5,-0.693147,0.000246,0,2,2,1,0.520708,0.297699,0.182655,0.656203,0.272911,0.070886,true,0,0,0,0,0,false,0.181197,0.048205,1.105263,0.251613,-1.504932,0.108571,0.181197,0.167863,6.5,0.483929,2.131012,0.108571,1,0,0,fold
0,0,2,115,false,0,2034.5,99.5,-0.693147,0.000246,0,2,2,1,0.524912,0.295088,0.181053,0.6605,0.2695,0.07,true,0,0,0,0,0,false,0.178151,0.047395,1.105263,0.2496,-1.504932,0.108571,0.178151,0.165042,6.5,0.479646,2.131012,0.108571,0,0,1,raise
0,0,1,115,true,2,2039,98,0.693147,0.00098,1.386294,2,2,1,0.520348,0.292522,0.188174,0.652346,0.266173,0.081481,true,2,1,0.5,0.693147,0.333333,true,0.186555,0.055798,1.131579,0.255556,-1.498122,0.108571,0.186555,0.173445,6.6,0.484211,2.124893,0.108571,1,0,0,fold
0,0,2,117,false,0,2042,99.5,-0.693147,0.000245,0,2,2,1,0.524483,0.29,0.186552,0.656585,0.262927,0.080488,true,0,0,0,0,0,false,0.183471,0.054876,1.131579,0.253543,-1.498122,0.108571,0.183471,0.170579,6.6,0.48,2.124893,0.108571,1,0,0,fold
0,0,2,119,false,0,2045,99.5,-0.693147,0.000244,0,2,2,1,0.528547,0.287521,0.184957,0.660723,0.259759,0.079518,true,0,0,0,0,0,false,0.180488,0.053984,1.131579,0.251563,-1.498122,0.108571,0.180488,0.167805,6.6,0.475862,2.124893,0.108571,0,1,0,call
0,0,1,120,true,1,2056.5,99,2.079442,0.003875,2.197225,2,2,1,0.524068,0.293559,0.18339,0.652857,0.268571,0.078571,true,1,0,0,0,0,false,0.187097,0.053548,1.128205,0.255385,-1.491371,0.103636,0.187097,0.174516,6.7,0.476271,2.128516,0.103636,0,1,0,call
0,0,2,121,false,0,2248,99.5,-0.693147,0.000222,0,2,2,1,0.511074,0.311074,0.178843,0.645176,0.277176,0.077647,true,0,0,0,0,0,false,0.1936,0.05312,1.047619,0.249624,-1.647346,0.09913,0.1856,0.17312,6.9,0.485,2.211291,0.09913,1,0,0,fold
0,0,1,122,true,1,2261.5,99,2.442347,0.005059,2.525729,2,2,1,0.515082,0.308525,0.177377,0.649302,0.273953,0.076744,true,1,0,0,0,0,false,0.192063,0.052698,1.047619,0.247761,-1.647346,0.09913,0.192063,0.179683,7,0.489256,2.217304,0.09913,1,0,0,fold
0,0,2,123,false,0,2263,99.5,-0.693147,0.000221,0,2,2,1,0.519024,0.306016,0.175935,0.653333,0.270805,0.075862,true,0,0,0,0,0,false,0.190551,0.052283,1.047619,0.245926,-1.647346,0.09913,0.190551,0.178268,7,0.489256,2.217304,0.09913,1,0,0,fold
0,0,2,125,false,0,2266,99.5,-0.693147,0.000221,0,2,2,1,0.522903,0.303548,0.174516,0.657273,0.267727,0.075,true,0,0,0,0,0,false,0.187597,0.051473,1.047619,0.244118,-1.647346,0.09913,0.187597,0.175504,7,0.485246,2.217304,0.09913,1,0,0,fold
