@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
537,6331,8.753214,81.5,4.412798,2,2,1,0.94383,0.607398,0.273659,0.119187,6,3,0,3,1,1,1,17.5,5,0,5,1,2,2,10.5,5,0,5,1,2,2,7,0,0,0,0,0,0,0.5,0,0.6,1,0.5,0.5,0.285714,0,0.416667,1,0.4,0.333333,1,5,1,2,2,5.5,12,1,5,6,false,0.155638,0.030758,0.81295,0.190672,-1.430692,0.032571,0.194455,0.187874,8.25,0.476623,2.01237,0.032571,0,0,0,0,0,1,5
581,6765.5,8.819592,86.5,4.471639,2,2,1,0.948235,0.607245,0.276679,0.116302,6,2,0,2,1,1,0,12.5,3,0,3,1,2,0,9.5,3,0,3,1,2,0,3,0,0,0,0,0,0,0.333333,0,0.4,0.5,0.5,0,0.24,0,0.26087,0.5,0.5,0,1,5,2,2,1,1,11.5,2,4,5.5,false,0.152479,0.030154,0.794702,0.188927,-1.376358,0.030811,0.195214,0.189128,8.517241,0.474297,1.984868,0.030811,0,0,0,1,0,0,3
595,6824.5,8.828275,90,4.510859,2,2,1,0.950189,0.607837,0.276599,0.115786,6,3,0,3,1,1,1,9,5,0,5,1,2,2,4,3,0,3,1,2,0,5,2,0,2,0,0,2,0.5,0,0.5,0.5,0.5,0.5,0.555556,0,0.555556,0.5,0.5,0.666667,0,6,2,2,2,0,9,2,4,3,true,0.150584,0.029449,0.798701,0.189848,-1.367687,0.0304,0.192321,0.186377,8.366667,0.471906,1.979712,0.0304,0,0,0,0,1,0,4
661,7964.5,8.982749,12,2.564949,2,2,1,0.953684,0.601388,0.280397,0.118413,9,4,0,4,2,2,0,87,41,0,41,12,29,0,20.5,1,0,1,1,0,0,66.5,40,0,40,11,29,0,0.444444,0,0.5,0.666667,0.5,0,0.471264,0,0.493976,0.521739,0.5,0,1,8,3,4,1,4,83,23,58,2,false,0.153684,0.02803,0.781609,0.189985,-1.261245,0.026824,0.194286,0.188932,8.294118,0.476626,1.8366,0.026824,0,0,0,0,0,1,5
707,8292,9.023046,25.5,3.277145,2,2,1,0.957419,0.60567,0.278255,0.116262,8,4,0,4,0,2,2,73.5,8.5,0,8.5,0,4.5,4,64.5,4,0,4,0,2,2,9,4.5,0,4.5,0,2.5,2,0.5,0,0.571429,0,0.666667,0.666667,0.115646,0,0.515152,0,0.642857,0.666667,1,7,1,3,3,57,16.5,3.5,7,6,true,0.153586,0.026217,0.786885,0.190014,-1.268356,0.024783,0.192968,0.187961,8.222222,0.471405,1.856504,0.024783,0,0,0,0,0,1,5
711,8400.5,9.036047,48,3.89182,2,2,1,0.95875,0.601605,0.280309,0.118272,8,4,0,4,1,1,2,51,17.5,0,17.5,1,10.5,6,13.5,3,0,3,1,0,2,37.5,14.5,0,14.5,0,10.5,4,0.5,0,0.5,0.5,0.333333,0.666667,0.343137,0,0.343137,0.333333,0.276316,0.6,0,8,2,3,3,0,51,3,38,10,true,0.154126,0.02607,0.795699,0.193512,-1.255515,0.024516,0.191888,0.186909,8.108109,0.472549,1.836698,0.024516,0,0,0,0,1,0,4
715,8492.5,9.046939,58.5,4.085976,2,2,1,0.95875,0.596702,0.280366,0.123115,7,3,0,3,1,1,1,40.5,15.5,0,15.5,7,4,4.5,15.5,0,0,0,0,0,0,25,15.5,0,15.5,7,4,4.5,0.428571,0,0.428571,0.333333,0.5,0.5,0.382716,0,0.382716,0.297872,0.5,0.5,0,7,3,2,2,0,40.5,23.5,8,9,true,0.15605,0.027316,0.808511,0.197207,-1.241174,0.024255,0.192211,0.18726,7.820513,0.473752,1.817515,0.024255,0,0,1,0,0,0,2
837,8792,9.081597,89.5,4.50535,2,2,1,0.961739,0.621699,0.26526,0.113205,3,1,0,1,1,0,0,9.5,1,0,1,1,0,0,9.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0.333333,0,0.5,1,0,0,0.105263,0,0.333333,1,0,0,1,2,1,1,0,6.5,3,1,2,0,false,0.144114,0.025731,0.80303,0.186181,-1.236588,0.022353,0.178597,0.171986,7.595238,0.442816,1.8315,0.022353,0,0,0.75,0.25,0,0,2
850,9024.5,9.107698,0,0,2,2,1,0.961739,0.620242,0.266003,0.113917,7,2,0,2,1,1,0,99,6.5,0,6.5,3,3.5,0,55,0,0,0,0,0,0,44,6.5,0,6.5,3,3.5,0,0.285714,0,0.333333,0.333333,0.5,0,0.065657,0,0.094891,0.230769,0.5,0,1,6,3,2,1,30.5,68.5,13,7,48.5,false,0.144262,0.02534,0.79703,0.185661,-1.267552,0.021923,0.17822,0.17171,7.581395,0.44457,1.845867,0.021923,0,0,0,0,0,1,5
875,9627,9.172327,34.5,3.569533,2,2,1,0.964324,0.608546,0.271094,0.120515,14,7,0,7,3,2,2,64.5,14.5,0,14.5,5,4.5,5,38.5,5,0,5,1,2,2,26,9.5,0,9.5,4,2.5,3,0.5,0,0.538462,0.5,0.5,0.666667,0.224806,0,0.467742,0.384615,0.45,0.625,1,13,6,4,3,33.5,31,13,10,8,true,0.145848,0.025757,0.813953,0.193632,-1.28663,0.021111,0.179977,0.173652,7.886364,0.4531,1.875394,0.021111,0,0,0,0,1,0,4
